"pref","year","tfr"
"宮崎",2007,1.59
"鹿児島",2007,1.54
"沖縄",2007,1.75
"全国",2008,1.37
"北海道",2008,1.2
"宮城",2008,1.29
"東京",2008,1.09
"宮崎",2008,1.6
"鹿児島",2008,1.59
"沖縄",2008,1.78
"全国",2009,1.37
"北海道",2009,1.19
"宮城",2009,1.25
"東京",2009,1.12
"宮崎",2009,1.61
"鹿児島",2009,1.56
"沖縄",2009,1.79
"全国",2010,1.39
"北海道",2010,1.26
"宮城",2010,1.3
"東京",2010,1.12
"宮崎",2010,1.68
"鹿児島",2010,1.62
"沖縄",2010,1.87
"全国",2011,1.39
"北海道",2011,1.25
"宮城",2011,1.25
"東京",2011,1.06
"宮崎",2011,1.68
"鹿児島",2011,1.64
"沖縄",2011,1.86
"全国",2012,1.41
"北海道",2012,1.26
"宮城",2012,1.3
"東京",2012,1.09
"宮崎",2012,1.67
"鹿児島",2012,1.64
"沖縄",2012,1.9
"全国",2013,1.43
"北海道",2013,1.28
"宮城",2013,1.34
"東京",2013,1.13
"宮崎",2013,1.72
"鹿児島",2013,1.63
"沖縄",2013,1.94
"全国",2014,1.42
"北海道",2014,1.27
"宮城",2014,1.3
"東京",2014,1.15
"宮崎",2014,1.69
"鹿児島",2014,1.62
"沖縄",2014,1.86
"全国",2015,1.45
"北海道",2015,1.31
"宮城",2015,1.36
"東京",2015,1.24
"宮崎",2015,1.7
"鹿児島",2015,1.7
"沖縄",2015,1.96
"全国",2016,1.44
"北海道",2016,1.29
"宮城",2016,1.34
"東京",2016,1.24
"宮崎",2016,1.71
"鹿児島",2016,1.68
"沖縄",2016,1.95
"全国",2017,1.43
"北海道",2017,1.29
"宮城",2017,1.31
"東京",2017,1.21
"宮崎",2017,1.73
"鹿児島",2017,1.69
"沖縄",2017,1.94
"全国",2018,1.42
"北海道",2018,1.27
"宮城",2018,1.3
"東京",2018,1.2
"宮崎",2018,1.72
"鹿児島",2018,1.7
"沖縄",2018,1.89
"全国",2019,1.36
"北海道",2019,1.24
"宮城",2019,1.23
"東京",2019,1.15
"宮崎",2019,1.73
"鹿児島",2019,1.63
"沖縄",2019,1.82
"全国",2020,1.33
"北海道",2020,1.2
"宮城",2020,1.2
"東京",2020,1.12
"宮崎",2020,1.64
"鹿児島",2020,1.61
"沖縄",2020,1.83
"全国",2021,1.3
"北海道",2021,1.2
"宮城",2021,1.15
"東京",2021,1.08
"宮崎",2021,1.65
"鹿児島",2021,1.64
"沖縄",2021,1.8
